motif_id	motif_name	tf_class	region_type	n_hits	n_genes	mean_score	mean_dist
MA2093.1	HOXB1	HOX	upstream_distal	16440	16440		-6000.50364963504
MA2094.1	PAX8	Paired domain only	upstream_distal	11943	11943		-6000.21317926819
MA2095.1	Sox7	SOX-related factors	upstream_distal	16323	16323		-6000.34043987012
MA2096.1	ZNF524	More than 3 adjacent zinc fingers	upstream_distal	13793	13793		-6000.51221634162
MA1715.1	ZNF707	More than 3 adjacent zinc fingers	upstream_distal	14509	14509		-6000.5096147219
MA2097.1	ZNF75A	More than 3 adjacent zinc fingers	upstream_distal	16412	16412		-6000.50932244699
MA2098.1	ZNF766	More than 3 adjacent zinc fingers	upstream_distal	12728	12728		-6000.50707102451
MA2099.1	ZNF770	Factors with multiple dispersed zinc fingers	upstream_distal	13856	13856		-6000.50411374134
MA1718.1	ZNF8	Factors with multiple dispersed zinc fingers	upstream_distal	13822	13822		-6000.3111705976
MA2100.1	ZSCAN16	More than 3 adjacent zinc fingers	upstream_distal	11928	11928		-6000.51257545272
MA2101.1	ZNF677	More than 3 adjacent zinc fingers	upstream_distal	17955	17955		-6000.3126705653
MA1684.1	Foxn1	FOX	upstream_distal	22227	22227		-6000.34804517029
MA1700.1	Clamp	Factors with multiple dispersed zinc fingers	upstream_distal	19297	19297		-5999.95019951288
MA2102.1	ZBTB17	Factors with multiple dispersed zinc fingers	upstream_distal	2484	2484		-6000.47866344606
MA2107.1	cg	More than 3 adjacent zinc fingers	upstream_distal	20456	20456		-6000.37529331248
MA2108.1	sqz	More than 3 adjacent zinc fingers	upstream_distal	25022	25022		-6000.02501798417
MA1876.1	Gsx	HOX	upstream_distal	18956	18956		-6000.24519940916
MA1890.1	Klf15	Three-zinc finger Kruppel-related	upstream_distal	22183	22183		-6000.3518460082
MA1893.1	Klf6-7-like	Three-zinc finger Kruppel-related	upstream_distal	20792	20792		-6000.3404674875
MA2109.1	Arid3	ARID-related	upstream_distal	24666	24666		-6000.30576502068
MA2110.1	Cdx	HOX	upstream_distal	12862	12862		-6000.50544238843
MA2111.1	HNF4	RXR-related receptors (NR2)	upstream_distal	13960	13960		-6000.5079512894
MA2112.1	Meis	TALE-type homeo domain factors	upstream_distal	24473	24473		-6000.36485106035
MA2113.1	Pax2-5-8-a	Paired domain only	upstream_distal	6095	6095		-6000.51173092699
MA2114.1	Pax3-7-like	Paired plus homeo domain	upstream_distal	24636	24636		-6000.16041565189
MA2115.1	Pax6	Paired plus homeo domain	upstream_distal	24666	24666		-6000.30576502068
MA2116.1	Pou4	POU domain factors	upstream_distal	24801	24801		-6000.02092657554
MA1931.1	ELK1::HOXA1	Ets-related	upstream_distal	8510	8510		-6000.50599294947
MA1957.1	HOXB2::ELK1	HOX	upstream_distal	10102	10102		-6000.50673134033
MA1962.1	POU2F1::SOX2	POU domain factors	upstream_distal	16172	16172		-6000.37070244868
MA1972.1	ZFP14	Factors with multiple dispersed zinc fingers	upstream_distal	19472	19472		-6000.37001848809
MA1980.1	ZNF418	Factors with multiple dispersed zinc fingers	upstream_distal	17061	17061		-6000.15585252916
MA1985.1	ZNF669	More than 3 adjacent zinc fingers	upstream_distal	14916	14916		-6000.27038079914
MA2117.1	FOXP4	FOX	upstream_distal	20553	20553		-6000.50829562594
MA2118.1	FOXS1	FOX	upstream_distal	13574	13574		-6000.50994548401
MA2119.1	HOXA3	HOX	upstream_distal	16440	16440		-6000.50364963504
MA2120.1	ZNF184	More than 3 adjacent zinc fingers	upstream_distal	15416	15416		-6000.26816294759
MA2121.1	ZNF213	More than 3 adjacent zinc fingers	upstream_distal	15743	15743		-6000.50867052023
MA2122.1	Ebf4	EBF-related	upstream_distal	12428	12428		-6000.50973607982
MA2123.1	Hand1	Tal-related	upstream_distal	14063	14063		-6000.25328877196
MA2124.1	Hmga1	HMGA	upstream_distal	17731	17731		-6000.35632508037
MA2125.1	Zfp809	More than 3 adjacent zinc fingers	upstream_distal	14772	14772		-6000.50595721636
MA2126.1	Zfp961	More than 3 adjacent zinc fingers	upstream_distal	12681	12681		-6000.29169623847
MA0079.5	SP1	Three-zinc finger Kruppel-related	upstream_distal	18416	18416		-6000.31928757602
MA0509.3	RFX1	RFX-related factors	upstream_distal	9973	9973		-6000.2324275544
MA0516.3	SP2	Three-zinc finger Kruppel-related	upstream_distal	17009	17009		-6000.5072608619
MA0607.2	BHLHA15	Tal-related	upstream_distal	8222	8222		-6000.50668936998
MA0685.2	SP4	Three-zinc finger Kruppel-related	upstream_distal	18834	18834		-6000.32122756717
MA0740.2	KLF14	Three-zinc finger Kruppel-related	upstream_distal	18438	18438		-6000.31841848357
MA0742.2	KLF12	Three-zinc finger Kruppel-related	upstream_distal	16892	16892		-6000.50976793749
MA0798.3	RFX3	RFX-related factors	upstream_distal	10993	10993		-6000.50723187483
MA0818.2	BHLHE22	Tal-related	upstream_distal	9102	9102		-6000.50780048341
MA0821.2	HES5	Hairy-related factors	upstream_distal	5604	5604		-6000.00838686652
MA0831.3	TFE3	bHLH-ZIP	upstream_distal	7405	7405		-6000.50209318028
MA0878.3	CDX1	HOX	upstream_distal	14019	14019		-6000.0912333262
MA0884.2	DUXA	Paired-related HD factors	upstream_distal	7037	7037		-6000.51584482024
MA1511.2	KLF10	Three-zinc finger Kruppel-related	upstream_distal	17807	17807		-6000.31285449542
MA1532.2	NR1D2	Thyroid hormone receptor-related factors (NR1)	upstream_distal	11702	11702		-6000.50623824987
MA1547.2	PITX2	Paired-related HD factors	upstream_distal	7557	7557		-6000.14423713114
MA1573.2	Thap11	THAP-related factors	upstream_distal	12672	12672		-6000.33057133839
MA1601.2	ZNF75D	More than 3 adjacent zinc fingers	upstream_distal	12945	12945		-6000.02332947084
MA1633.2	BACH1	Jun-related	upstream_distal	10266	10266		-6000.5146113384
MA2127.1	atf-2	CEBP-related	upstream_distal	6974	6974		-6000.12288500143
MA2128.1	ceh-18	POU domain factors	upstream_distal	6190	6190		-5999.4873990307
MA2129.1	ceh-23	NK	upstream_distal	23363	23363		-6000.29456833455
MA2130.1	dmd-10	DMRT factors	upstream_distal	10906	10906		-6000.18705299835
MA2131.1	egl-38	Paired domain only	upstream_distal	12024	12024		-6000.50415834997
MA2132.1	egrh-1	Three-zinc finger Kruppel-related	upstream_distal	12540	12540		-6000.51124401914
MA2133.1	elt-7	C4-GATA-related	upstream_distal	15782	15782		-6000.50887086554
MA2134.1	end-3	C4-GATA-related	upstream_distal	24688	24688		-6000.39893875567
MA2135.1	jun-1	Jun-related	upstream_distal	10066	10066		-6000.23465130141
MA2136.1	klf-3	Three-zinc finger Kruppel-related	upstream_distal	17225	17225		-6000.51175616836
MA2137.1	klu-1	More than 3 adjacent zinc fingers	upstream_distal	9173	9173		-6000.51444456557
MA2138.1	klu-2	Three-zinc finger Kruppel-related	upstream_distal	10196	10196		-6000.5108866222
MA2139.1	let-381	FOX	upstream_distal	16460	16460		-6000.50953827461
MA2140.1	lin-31	FOX	upstream_distal	12259	12259		-6000.50860592218
MA2141.1	lin-48	More than 3 adjacent zinc fingers	upstream_distal	9028	9028		-6000.11663712893
MA2142.1	nhr-142	RXR-related receptors (NR2)	upstream_distal	11259	11259		-6000.26521005418
MA2143.1	nhr-25	FTZF1related(NR5A)	upstream_distal	11098	11098		-6000.50396467832
MA2144.1	nhr-5	RXR-related receptors (NR2)	upstream_distal	12143	12143		-6000.29020835049
MA2145.1	nhr-70	RXR-related receptors (NR2)	upstream_distal	14972	14972		-5999.93441090035
MA2146.1	nhr-86	Steroid hormone receptors (NR3)	upstream_distal	12041	12041		-5999.79137945353
MA2147.1	nsy-7	Paired-related HD factors	upstream_distal	22687	22687		-6000.22347599947
MA2148.1	odd-2	More than 3 adjacent zinc fingers	upstream_distal	11233	11233		-6000.26564586486
MA2149.1	odr-7	RXR-related receptors (NR2)	upstream_distal	17562	17562		-6000.01987245189
MA2150.1	pag-3	More than 3 adjacent zinc fingers	upstream_distal	25093	25093		-6000.10919379907
MA2151.1	pax-2	Paired domain only	upstream_distal	7828	7828		-6000.51239141543
MA2152.1	ref-1	Hairy-related factors	upstream_distal	9482	9482		-6000.50558953807
MA2153.1	sex-1	Thyroid hormone receptor-related factors (NR1)	upstream_distal	13513	13513		-6000.50595722637
MA2154.1	snai-1	More than 3 adjacent zinc fingers	upstream_distal	16243	16243		-6000.50797266515
MA2155.1	sptf-3	Three-zinc finger Kruppel-related	upstream_distal	10879	10879		-6000.18926371909
MA2156.1	xbp-1	XBP-1-related factors	upstream_distal	9503	9503		-6000.5105756077
MA2157.1	atfs-1	ATF-4-related	upstream_distal	14261	14261		-6000.3219269336
MA2158.1	ceh-14	HD-LIM	upstream_distal	9465	9465		-6000.26973058637
MA2159.1	ceh-36	Paired-related HD factors	upstream_distal	22273	22273		-6000.21995240875
MA2160.1	ceh-39	HD-CUT	upstream_distal	7572	7572		-6000.51624405705
MA2161.1	ceh-43	NK	upstream_distal	20639	20639		-6000.37685934396
MA2162.1	ceh-60	TALE-type homeo domain factors	upstream_distal	12322	12322		-6000.51136179192
MA2163.1	cnd-1	Tal-related	upstream_distal	15028	15028		-6000.5089832313
MA2164.1	egl-27	C4-GATA-related	upstream_distal	12934	12934		-6000.50904592547
MA2165.1	elt-1	C4-GATA-related	upstream_distal	8904	8904		-6000.5146001797
MA2166.1	ets-7	Ets-related	upstream_distal	10795	10795		-6000.51097730431
MA2167.1	fkh-3	FOX	upstream_distal	12189	12189		-6000.50799901551
MA2168.1	hif-1	PAS domain factors	upstream_distal	7403	7403		-6000.50628123734
MA2169.1	hsf-1	HSF factors	upstream_distal	10724	10724		-6000.51137635211
MA2170.1	lin-32	Tal-related	upstream_distal	16521	16521		-6000.51001755342
MA2171.1	lsl-1	More than 3 adjacent zinc fingers	upstream_distal	11517	11517		-6000.2733350699
MA2172.1	mdl-1	bHLH-ZIP	upstream_distal	14836	14836		-6000.50626853599
MA2173.1	mef-2	Regulators of differentiation	upstream_distal	21986	21986		-5999.89229509688
MA2174.1	mls-2	NK	upstream_distal	1973	1973		-6000.51596553472
MA2175.1	mxl-1	bHLH-ZIP	upstream_distal	8026	8026		-6000.50236730626
MA2176.1	mxl-3	bHLH-ZIP	upstream_distal	7970	7970		-6000.50062735257
MA2177.1	nfya-1	Heteromeric CCAAT-binding	upstream_distal	14021	14021		-6000.51265958206
MA2178.1	sta-1	STAT factors	upstream_distal	12632	12632		-6000.50506649778
MA2179.1	ceh-10	Paired-related HD factors	upstream_distal	16648	16648		-6000.3455069678
MA2180.1	F10B5.3	Three-zinc finger Kruppel-related	upstream_distal	15439	15439		-6000.50987758274
MA2181.1	lsy-2	More than 3 adjacent zinc fingers	upstream_distal	11094	11094		-6000.50964485307
MA2182.1	nfi-1	Nuclear factor 1	upstream_distal	9156	9156		-6000.50753604194
MA2183.1	nhr-33	RXR-related receptors (NR2)	upstream_distal	11474	11474		-5999.9680146418
MA2184.1	sox-3	SOX-related factors	upstream_distal	14994	14994		-6000.08970254769
MA2185.1	tbx-37	TBX6-related factors	upstream_distal	15595	15595		-6000.51106123758
MA2186.1	tbx-38	TBX6-related factors	upstream_distal	15327	15327		-6000.50701376656
MA2187.1	ztf-6	Factors with multiple dispersed zinc fingers	upstream_distal	15921	15921		-6000.51127441744
MA2188.1	acj6	POU domain factors	upstream_distal	7906	7906		-6000.51151024538
MA2189.1	Adf1	More than 3 adjacent zinc fingers	upstream_distal	7786	7786		-6000.22065245312
MA2190.1	Aef1	More than 3 adjacent zinc fingers	upstream_distal	16724	16724		-6000.08580483138
MA2191.1	amos	Tal-related	upstream_distal	13134	13134		-6000.23481041572
MA2192.1	Atf-2	Jun-related	upstream_distal	11106	11106		-6000.5056726094
MA2193.1	Atf3	Fos-related	upstream_distal	10631	10631		-6000.50522058132
MA2194.1	Atf6	Jun-related	upstream_distal	10392	10392		-6000.51145111624
MA2195.1	ato	Tal-related	upstream_distal	13550	13550		-6000.3042804428
MA2196.1	bigmax	bHLH-ZIP	upstream_distal	9230	9230		-6000.50834236186
MA2197.1	bin	FOX	upstream_distal	22762	22762		-6000.25309726738
MA2198.1	Blimp-1	More than 3 adjacent zinc fingers	upstream_distal	14785	14785		-6000.50652688536
MA2199.1	bowl	More than 3 adjacent zinc fingers	upstream_distal	14170	14170		-6000.31757233592
MA2200.1	bs	Responders to external signals (SRF/RLM1)	upstream_distal	8672	8672		-6000.50899446494
MA2201.1	Bteb2	Three-zinc finger Kruppel-related	upstream_distal	10449	10449		-6000.51028806584
MA2202.1	byn	Brachyury-related factors	upstream_distal	12080	12080		-6000.28302980133
MA2203.1	CG12605	More than 3 adjacent zinc fingers	upstream_distal	14066	14066		-6000.50853121001
MA2204.1	CG4360	More than 3 adjacent zinc fingers	upstream_distal	21607	21607		-6000.18109871801
MA2205.1	CG7928	More than 3 adjacent zinc fingers	upstream_distal	15438	15438		-6000.51004016064
MA2206.1	CHES-1-like	FOX	upstream_distal	18060	18060		-6000.50985603544
MA2207.1	ci	More than 3 adjacent zinc fingers	upstream_distal	18059	18059		-6000.31225427765
MA2208.1	crc	ATF-4-related factors	upstream_distal	9753	9753		-6000.23879831847
MA2209.1	CrebA	CREB-related factors	upstream_distal	6686	6686		-6000.50553395154
MA2210.1	CrebB	CREB-related factors	upstream_distal	6910	6910		-6000.50738060781
MA2211.1	croc	FOX	upstream_distal	15144	15144		-6000.50752773376
MA2212.1	dar1	Three-zinc finger Kruppel-related	upstream_distal	15280	15280		-6000.04515706806
MA2213.1	Dif	NF-kappaB-related factors	upstream_distal	6891	6891		-6000.50747351618
MA2214.1	dimm	Tal-related	upstream_distal	7968	7968		-6000.50903614458
MA2215.1	dm	bHLH-ZIP	upstream_distal	9663	9663		-6000.50201800683
MA2216.1	Doc2	TBX6-related factors	upstream_distal	11003	11003		-6000.2526583659
MA2217.1	dpn	Hairy-related factors	upstream_distal	12027	12027		-6000.27987029184
MA2218.1	dsf	RXR-related receptors (NR2)	upstream_distal	16359	16359		-6000.29304969741
MA2219.1	E(spl)m3-HLH	Hairy-related factors	upstream_distal	10117	10117		-6000.50558465948
MA2220.1	E(spl)mbeta-HLH	Hairy-related factors	upstream_distal	7466	7466		-6000.13554781677
MA2221.1	E(spl)mdelta-HLH	Hairy-related factors	upstream_distal	8110	8110		-6000.50431565968
MA2222.1	E(spl)mgamma-HLH	Hairy-related factors	upstream_distal	7707	7707		-6000.50577397171
MA2223.1	EcR	Thyroid hormone receptor-related factors (NR1)	upstream_distal	7359	7359		-6000.51121076233
MA2224.1	Eip75B	Thyroid hormone receptor-related factors (NR1)	upstream_distal	13110	13110		-6000.5112890923
MA2225.1	erm	More than 3 adjacent zinc fingers	upstream_distal	17580	17580		-6000.30961319682
MA2226.1	ERR	Steroid hormone receptors (NR3)	upstream_distal	12723	12723		-6000.50923524326
MA2227.1	esg	More than 3 adjacent zinc fingers	upstream_distal	14700	14700		-6000.50646258503
MA2228.1	Ets65A	Ets-related	upstream_distal	9076	9076		-6000.50683120317
MA2229.1	Ets96B	Ets-related	upstream_distal	9429	9429		-6000.50747693287
MA2230.1	Ets97D	Ets-related	upstream_distal	11113	11113		-6000.50436425808
MA2231.1	Ets98B	Ets-related	upstream_distal	7097	7097		-6000.51458362689
MA2232.1	fd59A	FOX	upstream_distal	19865	19865		-6000.51029448779
MA2233.1	Fer1	Tal-related	upstream_distal	12838	12838		-6000.29700887989
MA2234.1	Fer2	Tal-related	upstream_distal	13713	13713		-6000.30613286662
MA2235.1	FoxL1	FOX	upstream_distal	12960	12960		-6000.23333333333
MA2236.1	foxo	FOX	upstream_distal	14103	14103		-6000.35056370985
MA2237.1	FoxP	FOX	upstream_distal	17910	17910		-6000.50943606924
MA2238.1	GATAe	C4-GATA-related	upstream_distal	8558	8558		-6000.08997429306
MA2239.1	gsb	Paired plus homeo domain	upstream_distal	9482	9482		-6000.50706601983
MA2240.1	Hey	Hairy-related factors	upstream_distal	14836	14836		-6000.50626853599
MA2241.1	HLH4C	Tal-related	upstream_distal	11511	11511		-6000.51185822257
MA2242.1	Hnf4	RXR-related receptors (NR2)	upstream_distal	13665	13665		-6000.3075740944
MA2243.1	Hr38	NGFI-B-related receptors (NR4)	upstream_distal	18166	18166		-6000.30182759
MA2244.1	Hr39	GCNF-related receptors (NR6)	upstream_distal	13782	13782		-6000.34167755043
MA2245.1	Hr78	RXR-related receptors (NR2)	upstream_distal	11555	11555		-6000.26637819126
MA2246.1	Jra	Jun-related	upstream_distal	8414	8414		-6000.51438079392
MA2247.1	Kah	More than 3 adjacent zinc fingers	upstream_distal	14963	14963		-6000.51106061619
MA2248.1	kay	Fos-related	upstream_distal	6591	6591		-6000.51615839782
MA2249.1	ken	Other factors with up to three adjacent zinc fingers	upstream_distal	14968	14968		-6000.5047434527
MA2250.1	klu	More than 3 adjacent zinc fingers	upstream_distal	16699	16699		-6000.50901251572
MA2251.1	knrl	Thyroid hormone receptor-related factors (NR1)	upstream_distal	11067	11067		-6000.51423149905
MA2252.1	lmd	More than 3 adjacent zinc fingers	upstream_distal	17517	17517		-6000.51327282069
MA2253.1	luna	Three-zinc finger Kruppel-related	upstream_distal	15568	15568		-6000.28301644399
MA2254.1	lz	Runt-related factors	upstream_distal	13396	13396		-6000.24440131383
MA2255.1	Max	bHLH-ZIP	upstream_distal	9663	9663		-6000.50201800683
MA2256.1	mid	TBX1-related factors	upstream_distal	11614	11614		-6000.2657137937
MA2257.1	Mitf	bHLH-ZIP	upstream_distal	8603	8603		-6000.50761362316
MA2258.1	Mnt	bHLH-ZIP	upstream_distal	9046	9046		-6000.50176873756
MA2259.1	org-1	TBX1-related factors	upstream_distal	8495	8495		-6000.17916421424
MA2260.1	pdm3	POU domain factors	upstream_distal	8018	8018		-6000.51035170866
MA2261.1	phol	More than 3 adjacent zinc fingers	upstream_distal	16317	16317		-6000.50517864804
MA2262.1	pnt	Ets-related	upstream_distal	12407	12407		-6000.32707342629
MA2263.1	Poxm	Paired domain only	upstream_distal	10111	10111		-6000.15705667095
MA2264.1	Rel	NF-kappaB-related factors	upstream_distal	10491	10491		-6000.50538556858
MA2265.1	retn	ARID-related	upstream_distal	23268	23268		-6000.39195461578
MA2266.1	Rfx	RFX-related factors	upstream_distal	9143	9143		-6000.50749207044
MA2267.1	rib	Other factors with up to three adjacent zinc fingers	upstream_distal	16072	16072		-6000.51076406172
MA2268.1	sage	TALE-type homeo domain factors	upstream_distal	17093	17093		-6000.30029836775
MA2269.1	sc	MyoD/ASC-related factors	upstream_distal	12987	12987		-6000.23438823439
MA2270.1	scrt	More than 3 adjacent zinc fingers	upstream_distal	15803	15803		-6000.51224451054
MA2271.1	sens	More than 3 adjacent zinc fingers	upstream_distal	14708	14708		-6000.32200163177
MA2272.1	slp2	FOX	upstream_distal	13063	13063		-6000.50700451657
MA2273.1	Sox102F	SOX-related factors	upstream_distal	11618	11618		-6000.27577896368
MA2274.1	Sox14	SOX-related factors	upstream_distal	18695	18695		-6000.36287777481
MA2275.1	Sox15	SOX-related factors	upstream_distal	13274	13274		-6000.5059514841
MA2276.1	Sox21a	SOX-related factors	upstream_distal	14621	14621		-5999.92442377402
MA2277.1	Sox21b	SOX-related factors	upstream_distal	15901	15901		-6000.36714672033
MA2278.1	SoxN	SOX-related factors	upstream_distal	14140	14140		-5999.90190947666
MA2279.1	Sp1	Three-zinc finger Kruppel-related	upstream_distal	12194	12194		-6000.51197310153
MA2280.1	Spps	Three-zinc finger Kruppel-related	upstream_distal	14408	14408		-6000.26644919489
MA2281.1	SREBP	bHLH-ZIP	upstream_distal	7798	7798		-6000.14978199538
MA2282.1	SREBP	bHLH-ZIP	upstream_distal	12640	12640		-6000.50585443038
MA2283.1	srp	C4-GATA-related	upstream_distal	11976	11976		-6000.50910153641
MA2284.1	ss	PAS domain factors	upstream_distal	13680	13680		-6000.31118421053
MA2285.1	sug	More than 3 adjacent zinc fingers	upstream_distal	13851	13851		-6000.51086564147
MA2286.1	svp	RXR-related receptors (NR2)	upstream_distal	14083	14083		-6000.5064261876
MA2287.1	TfAP-2	AP-2	upstream_distal	7048	7048		-6000.51475595914
MA2288.1	tj	Maf-related	upstream_distal	13315	13315		-6000.50867442734
MA2289.1	toy	Paired plus homeo domain	upstream_distal	11359	11359		-6000.50691081961
MA2290.1	Usf	bHLH-ZIP	upstream_distal	12530	12530		-6000.50694333599
MA2291.1	vri	CEBP-related	upstream_distal	9850	9850		-6000.5152284264
MA2292.1	wor	More than 3 adjacent zinc fingers	upstream_distal	13891	13891		-6000.34648333453
MA2293.1	Xbp1	XBP-1-related factors	upstream_distal	9108	9108		-6000.50713658322
MA2294.1	Xrp1	""	upstream_distal	9130	9130		-6000.21380065717
MA2295.1	ac	MyoD/ASC-related factors	upstream_distal	12562	12562		-6000.51082630155
MA2296.1	aop	Ets-related	upstream_distal	7939	7939		-6000.49943317798
MA2297.1	BtbVII	More than 3 adjacent zinc fingers	upstream_distal	18829	18829		-6000.1312337352
MA2298.1	CG3065	Three-zinc finger Kruppel-related	upstream_distal	14505	14505		-6000.26639089969
MA2299.1	CG4854	More than 3 adjacent zinc fingers	upstream_distal	14148	14148		-6000.50996607294
MA2300.1	CG8319	More than 3 adjacent zinc fingers	upstream_distal	14315	14315		-6000.25008732099
MA2301.1	clk	PAS domain factors	upstream_distal	5360	5360		-6000.51175373134
MA2302.1	Crg-1	FOX	upstream_distal	18232	18232		-6000.51064063186
MA2303.1	crp	bHLH-ZIP	upstream_distal	9731	9731		-6000.12711951495
MA2304.1	cwo	Hairy-related factors	upstream_distal	5505	5505		-6000.50862851953
MA2305.1	cyc	PAS domain factors	upstream_distal	6802	6802		-6000.50926198177
MA2306.1	D1	HMGA	upstream_distal	19336	19336		-6000.50724038064
MA2307.1	D19B	More than 3 adjacent zinc fingers	upstream_distal	9600	9600		-6000.51395833333
MA2308.1	da	E2A	upstream_distal	20893	20893		-6000.50997941894
MA2309.1	ewg	Jun-related	upstream_distal	6665	6665		-6000.50322580645
MA2310.1	fru	Factors with multiple dispersed zinc fingers	upstream_distal	10913	10913		-6000.50774305874
MA2311.1	ftz-f1	FTZF1related(NR5A)	upstream_distal	9615	9615		-6000.50514820593
MA2312.1	grn	C4-GATA-related	upstream_distal	16737	16737		-6000.34773256856
MA2313.1	hng1	More than 3 adjacent zinc fingers	upstream_distal	2659	2659		-6000.50770966529
MA2314.1	hr3	Thyroid hormone receptor-related factors (NR1)	upstream_distal	14107	14107		-6000.30949174169
MA2315.1	insv	""	upstream_distal	6126	6126		-6000.06366307542
MA2316.1	l(3)neo38	Three-zinc finger Kruppel-related	upstream_distal	17785	17785		-6000.51279167838
MA2317.1	nau	MyoD/ASC-related factors	upstream_distal	20893	20893		-6000.50997941894
MA2318.1	pita	More than 3 adjacent zinc fingers	upstream_distal	12382	12382		-6000.51162978517
MA2319.1	run	Runt-related factors	upstream_distal	8171	8171		-6000.50801615469
MA2320.1	Sox100B	SOX-related factors	upstream_distal	5645	5645		-6000.51018600531
MA2321.1	tx	Tal-related	upstream_distal	20893	20893		-6000.50997941894
MA2322.1	ZIPIC	More than 3 adjacent zinc fingers	upstream_distal	16362	16362		-6000.50873976287
MA2323.1	Pgr	Steroid hormone receptors (NR3)	upstream_distal	13265	13265		-6000.51556728232
MA2324.1	BCL11A	Factors with multiple dispersed zinc fingers	upstream_distal	17816	17816		-6000.38330713965
MA2325.1	EPAS1	PAS domain factors	upstream_distal	6904	6904		-6000.51013904983
MA2326.1	IKZF2	Factors with multiple dispersed zinc fingers	upstream_distal	24695	24695		-6000.10406964973
MA2327.1	PGR	Steroid hormone receptors (NR3)	upstream_distal	7816	7816		-6000.50985158649
MA2328.1	ZBED4	BED zinc finger factors	upstream_distal	10929	10929		-6000.51038521365
MA2329.1	ZBTB11	More than 3 adjacent zinc fingers	upstream_distal	12820	12820		-6000.50936037442
MA2330.1	ZBTB24	More than 3 adjacent zinc fingers	upstream_distal	13486	13486		-6000.51379208068
MA2331.1	ZNF157	More than 3 adjacent zinc fingers	upstream_distal	13414	13414		-6000.51304607127
MA2332.1	ZNF175	More than 3 adjacent zinc fingers	upstream_distal	15350	15350		-6000.51172638437
MA2333.1	ZNF35	More than 3 adjacent zinc fingers	upstream_distal	15920	15920		-6000.33875628141
MA2334.1	ZNF547	More than 3 adjacent zinc fingers	upstream_distal	13906	13906		-6000.15022292536
MA2335.1	ZNF558	More than 3 adjacent zinc fingers	upstream_distal	21718	21718		-6000.51022193572
MA2336.1	ZSCAN21	More than 3 adjacent zinc fingers	upstream_distal	16065	16065		-6000.36875194522
MA2337.1	Nr1h3	Thyroid hormone receptor-related factors (NR1)	upstream_distal	23808	23808		-6000.23693716398
MA2338.1	Ppara	Thyroid hormone receptor-related factors (NR1)	upstream_distal	14083	14083		-6000.5064261876
MA2339.1	Nanog	NK	upstream_distal	15093	15093		-6000.50970648645
MA2340.1	Zbtb2	Factors with multiple dispersed zinc fingers	upstream_distal	11398	11398		-6000.50894893841
MA2341.1	FEZF2	More than 3 adjacent zinc fingers	upstream_distal	13794	13794		-6000.30716253444
MA0529.3	BEAF-32	Zinc finger, BED-type	upstream_distal	1815	1815		-6000.51680440771
MA0010.2	br	Other factors with up to three adjacent zinc fingers	upstream_distal	20432	20432		-6000.39589859045
MA0011.2	br	Other factors with up to three adjacent zinc fingers	upstream_distal	24743	24743		-5999.96140322515
MA0012.2	br	Other factors with up to three adjacent zinc fingers	upstream_distal	11235	11235		-6000.50663106364
MA0443.2	btd	Other factors with up to three adjacent zinc fingers	upstream_distal	13167	13167		-6000.50960735171
MA0015.2	Cf2	Factors with multiple dispersed zinc fingers	upstream_distal	13984	13984		-6000.50872425629
MA0184.2	CG9876	Paired-related HD factors	upstream_distal	23363	23363		-6000.29456833455
MA0530.2	cnc::maf-S	Jun-related	upstream_distal	13328	13328		-6000.50787815126
MA0531.2	CTCF	More than 3 adjacent zinc fingers	upstream_distal	13302	13302		-6000.50623966321
MA0185.2	Deaf1	DEAF	upstream_distal	24950	24950		-6000.25775551102
MA1455.2	dmrt99B	DMRT factors	upstream_distal	12736	12736		-6000.23107726131
MA1456.2	Dref	BED zinc finger factors	upstream_distal	1659	1659		-6000.51657625075
MA1836.2	dsx	DMRT factors	upstream_distal	20295	20295		-6000.26395663957
MA0915.2	dve	HD-CUT	upstream_distal	22273	22273		-6000.21995240875
MA0189.2	E5	NK	upstream_distal	23363	23363		-6000.29456833455
MA1837.2	Elba1	""	upstream_distal	13752	13752		-6000.51098022106
MA1838.2	Elba2	""	upstream_distal	13752	13752		-6000.51098022106
MA0222.2	exd	TALE-type homeo domain factors	upstream_distal	20671	20671		-6000.50897392482
MA1839.2	GATAd	C4-GATA-related	upstream_distal	16737	16737		-6000.34773256856
MA1840.2	gcm	GCM	upstream_distal	6251	6251		-6000.50967845145
MA1457.2	grh	Grainyhead-related factors	upstream_distal	11802	11802		-6000.27673275716
MA1458.2	Hsf	HSF factors	upstream_distal	10711	10711		-6000.51115675474
MA1841.2	kn	EBF-related	upstream_distal	12721	12721		-6000.51120194953
MA0451.2	kni	Thyroid hormone receptor-related factors (NR1)	upstream_distal	13699	13699		-6000.50996423097
MA0452.3	Kr	More than 3 adjacent zinc fingers	upstream_distal	13060	13060		-6000.29640122512
MA0195.2	Lim3	HD-LIM	upstream_distal	23363	23363		-6000.29456833455
MA1459.2	M1BP	More than 3 adjacent zinc fingers	upstream_distal	12731	12731		-6000.5087581494
MA0197.3	nub	POU domain factors	upstream_distal	14296	14296		-6000.50615556799
MA0126.2	ovo	More than 3 adjacent zinc fingers	upstream_distal	8731	8731		-6000.50108807697
MA1702.2	Pdp1	CEBP-related	upstream_distal	7209	7209		-6000.12872797892
MA0457.2	PHDP	Paired-related HD factors	upstream_distal	24666	24666		-6000.30576502068
